species,year,doy,source
syringa vulgaris,1961,114,us_phen
syringa vulgaris,1962,108,us_phen
syringa vulgaris,1963,136,us_phen
syringa vulgaris,1965,113,us_phen
syringa vulgaris,1966,100,us_phen
syringa vulgaris,1967,137,us_phen
syringa vulgaris,1968,100,us_phen
syringa vulgaris,1969,117,us_phen
syringa vulgaris,1970,123,us_phen
syringa vulgaris,1971,108,us_phen
syringa vulgaris,1958,71,us_phen
syringa vulgaris,1959,81,us_phen
syringa vulgaris,1960,77,us_phen
syringa vulgaris,1961,74,us_phen
syringa vulgaris,1962,83,us_phen
syringa vulgaris,1963,67,us_phen
syringa vulgaris,1964,73,us_phen
syringa vulgaris,1960,95,us_phen
syringa vulgaris,1962,103,us_phen
syringa vulgaris,1964,105,us_phen
syringa vulgaris,1965,98,us_phen
syringa vulgaris,1966,96,us_phen
syringa vulgaris,1958,79,us_phen
syringa vulgaris,1961,72,us_phen
syringa vulgaris,1962,89,us_phen
syringa vulgaris,1963,80,us_phen
syringa vulgaris,1964,75,us_phen
syringa vulgaris,1966,70,us_phen
syringa vulgaris,1967,72,us_phen
syringa vulgaris,1968,70,us_phen
syringa vulgaris,1969,90,us_phen
syringa vulgaris,1970,64,us_phen
syringa vulgaris,1971,83,us_phen
syringa vulgaris,1972,67,us_phen
syringa vulgaris,1973,74,us_phen
syringa vulgaris,1974,69,us_phen
syringa vulgaris,1957,92,us_phen
syringa vulgaris,1958,105,us_phen
syringa vulgaris,1959,89,us_phen
syringa vulgaris,1960,90,us_phen
syringa vulgaris,1961,90,us_phen
syringa vulgaris,1963,96,us_phen
syringa vulgaris,1964,94,us_phen
syringa vulgaris,1973,84,us_phen
syringa vulgaris,1976,90,us_phen
syringa vulgaris,1957,84,us_phen
syringa vulgaris,1958,108,us_phen
syringa vulgaris,1959,93,us_phen
syringa vulgaris,1960,92,us_phen
syringa vulgaris,1961,92,us_phen
syringa vulgaris,1962,96,us_phen
syringa vulgaris,1963,93,us_phen
syringa vulgaris,1964,100,us_phen
syringa vulgaris,1965,90,us_phen
syringa vulgaris,1967,101,us_phen
syringa vulgaris,1968,79,us_phen
syringa vulgaris,1957,121,us_phen
syringa vulgaris,1958,130,us_phen
syringa vulgaris,1959,102,us_phen
syringa vulgaris,1960,130,us_phen
syringa vulgaris,1961,117,us_phen
syringa vulgaris,1962,101,us_phen
syringa vulgaris,1963,122,us_phen
syringa vulgaris,1964,124,us_phen
syringa vulgaris,1965,107,us_phen
syringa vulgaris,1966,99,us_phen
syringa vulgaris,1967,131,us_phen
syringa vulgaris,1968,100,us_phen
syringa vulgaris,1969,116,us_phen
syringa vulgaris,1970,120,us_phen
syringa vulgaris,1957,73,us_phen
syringa vulgaris,1958,71,us_phen
syringa vulgaris,1959,71,us_phen
syringa vulgaris,1960,68,us_phen
syringa vulgaris,1961,61,us_phen
syringa vulgaris,1962,80,us_phen
syringa vulgaris,1963,62,us_phen
syringa vulgaris,1964,61,us_phen
syringa vulgaris,1965,78,us_phen
syringa vulgaris,1957,87,us_phen
syringa vulgaris,1958,105,us_phen
syringa vulgaris,1959,96,us_phen
syringa vulgaris,1960,85,us_phen
syringa vulgaris,1962,97,us_phen
syringa vulgaris,1964,103,us_phen
syringa vulgaris,1965,108,us_phen
syringa vulgaris,1966,91,us_phen
syringa vulgaris,1967,96,us_phen
syringa vulgaris,1968,88,us_phen
syringa vulgaris,1967,47,us_phen
syringa vulgaris,1968,43,us_phen
syringa vulgaris,1969,84,us_phen
syringa vulgaris,1970,57,us_phen
syringa vulgaris,1971,48,us_phen
syringa vulgaris,1972,44,us_phen
syringa vulgaris,1957,100,us_phen
syringa vulgaris,1958,105,us_phen
syringa vulgaris,1959,96,us_phen
syringa vulgaris,1960,94,us_phen
syringa vulgaris,1961,103,us_phen
syringa vulgaris,1962,100,us_phen
syringa vulgaris,1963,124,us_phen
syringa vulgaris,1964,106,us_phen
syringa vulgaris,1965,98,us_phen
syringa vulgaris,1966,93,us_phen
syringa vulgaris,1957,102,us_phen
syringa vulgaris,1958,118,us_phen
syringa vulgaris,1959,78,us_phen
syringa vulgaris,1960,93,us_phen
syringa vulgaris,1961,123,us_phen
syringa vulgaris,1962,103,us_phen
syringa vulgaris,1963,86,us_phen
syringa vulgaris,1964,91,us_phen
syringa vulgaris,1965,76,us_phen
syringa vulgaris,1966,80,us_phen
syringa vulgaris,1967,103,us_phen
syringa vulgaris,1968,74,us_phen
syringa vulgaris,1969,91,us_phen
syringa vulgaris,1971,50,us_phen
syringa vulgaris,1972,60,us_phen
syringa vulgaris,1973,97,us_phen
syringa vulgaris,1974,83,us_phen
syringa vulgaris,1957,119,us_phen
syringa vulgaris,1958,125,us_phen
syringa vulgaris,1959,111,us_phen
syringa vulgaris,1961,110,us_phen
syringa vulgaris,1962,110,us_phen
syringa vulgaris,1963,127,us_phen
syringa vulgaris,1966,113,us_phen
syringa vulgaris,1957,116,us_phen
syringa vulgaris,1958,117,us_phen
syringa vulgaris,1959,96,us_phen
syringa vulgaris,1960,104,us_phen
syringa vulgaris,1964,106,us_phen
syringa vulgaris,1965,90,us_phen
