species,year,doy,source
syringa chinensis,1981,132,USPN
syringa chinensis,1982,128,USPN
syringa chinensis,1984,144,USPN
syringa chinensis,1986,128,USPN
syringa chinensis,1987,133,USPN
syringa chinensis,1988,137,USPN
syringa chinensis,1971,141,USPN
syringa chinensis,1972,142,USPN
syringa chinensis,1973,130,USPN
syringa chinensis,1974,135,USPN
syringa chinensis,1975,138,USPN
syringa chinensis,1976,131,USPN
syringa chinensis,1977,131,USPN
syringa chinensis,1978,143,USPN
syringa chinensis,1979,130,USPN
syringa chinensis,1980,132,USPN
syringa chinensis,1981,129,USPN
syringa chinensis,1982,135,USPN
syringa chinensis,1983,131,USPN
syringa chinensis,1984,140,USPN
syringa chinensis,1985,130,USPN
syringa chinensis,1986,133,USPN
syringa chinensis,1987,132,USPN
syringa chinensis,1988,130,USPN
syringa chinensis,1989,138,USPN
syringa chinensis,1990,130,USPN
syringa chinensis,1991,124,USPN
syringa chinensis,1992,138,USPN
syringa chinensis,1993,129,USPN
syringa chinensis,1994,130,USPN
syringa chinensis,1995,130,USPN
syringa chinensis,1996,137,USPN
syringa chinensis,1970,138,USPN
syringa chinensis,1971,143,USPN
syringa chinensis,1972,143,USPN
syringa chinensis,1973,130,USPN
syringa chinensis,1974,136,USPN
syringa chinensis,1975,139,USPN
syringa chinensis,1976,126,USPN
syringa chinensis,1978,143,USPN
syringa chinensis,1979,130,USPN
syringa chinensis,1980,135,USPN
syringa chinensis,1981,130,USPN
syringa chinensis,1982,133,USPN
syringa chinensis,1983,130,USPN
syringa chinensis,1984,133,USPN
syringa chinensis,1986,125,USPN
