"","species","doy","year","source","photoperiod_sensitive"
"279","Sonchus_oleraceus",173,1963,"uknc",TRUE
"280","Sinapis_alba",146,1963,"uknc",TRUE
"281","Arrhenatherum_elatius",155,1963,"uknc",FALSE
"282","Calluna_vulgaris",190,1963,"uknc",TRUE
"283","Avena_sativa",186,1963,"uknc",TRUE
"284","Aster_novi-belgii",226,1963,"uknc",TRUE
"285","Cynosurus_cristatus",152,1963,"uknc",FALSE
"286","Briza_media",149,1963,"uknc",FALSE
"287","Plantago_lanceolata",125,1963,"uknc",TRUE
"288","Trifolium_pratense",141,1963,"uknc",TRUE
"289","Deschampsia_flexuosa",159,1963,"uknc",TRUE
"290","Myosotis_scorpioides",174,1963,"uknc",FALSE
"291","Rubus_idaeus",152,1963,"uknc",TRUE
"292","Poa_nemoralis",151,1963,"uknc",FALSE
"293","Poa_trivialis",147,1963,"uknc",FALSE
"294","Deschampsia_cespitosa",177,1963,"uknc",TRUE
"295","Viola_odorata",81,1963,"uknc",TRUE
"296","Festuca_rubra",115,1963,"uknc",FALSE
"297","Festuca_arundinacea",139,1963,"uknc",TRUE
"298","Ribes_nigrum",133,1963,"uknc",TRUE
"299","Rumex_acetosella",138.6202186,1964,"uknc",TRUE
"300","Ranunculus_ficaria",65.81967213,1964,"uknc",FALSE
"301","Alopecurus_pratensis",117.6775956,1964,"uknc",TRUE
"302","Cichorium_intybus",186.489071,1964,"uknc",TRUE
"303","Phleum_pratense",179.5081967,1964,"uknc",TRUE
"304","Lunaria_annua",123.6612022,1964,"uknc",TRUE
"305","Trifolium_repens",142.6092896,1964,"uknc",TRUE
"306","Brachypodium_pinnatum",177.5136612,1964,"uknc",FALSE
"307","Digitalis_purpurea",145.6010929,1964,"uknc",TRUE
"308","Ulmus_glabra",90.75136612,1964,"uknc",TRUE
"309","Scrophularia_vernalis",113.6885246,1964,"uknc",FALSE
"310","Anagallis_arvensis",146.5983607,1964,"uknc",TRUE
"311","Solidago_canadensis",211.420765,1964,"uknc",TRUE
"312","Silene_latifolia",134.6311475,1964,"uknc",TRUE
"313","Poa_pratensis",120.6693989,1964,"uknc",TRUE
"314","Chenopodium_album",188.4836066,1964,"uknc",TRUE
"315","Lactuca_serriola",201.4480874,1964,"uknc",TRUE
"316","Sonchus_oleraceus",143.6065574,1964,"uknc",TRUE
"317","Sinapis_alba",133.6338798,1964,"uknc",TRUE
"318","Calluna_vulgaris",193.4699454,1964,"uknc",TRUE
"319","Avena_sativa",188.4836066,1964,"uknc",TRUE
"320","Cynosurus_cristatus",142.6092896,1964,"uknc",FALSE
"321","Briza_media",140.6147541,1964,"uknc",FALSE
