"species","doy","year","source"
"Pastinaca_sativa",168,1963,"uknc"
"Solidago_canadensis",212,1963,"uknc"
"Poa_pratensis",124,1963,"uknc"
"Chenopodium_album",178,1963,"uknc"
"Silene_dioica",145,1963,"uknc"
"Sonchus_oleraceus",173,1963,"uknc"
"Sinapis_alba",146,1963,"uknc"
"Arrhenatherum_elatius",155,1963,"uknc"
"Calluna_vulgaris",190,1963,"uknc"
"Avena_sativa",186,1963,"uknc"
"Aster_novi-belgii",226,1963,"uknc"
"Cynosurus_cristatus",152,1963,"uknc"
"Briza_media",149,1963,"uknc"
"Plantago_lanceolata",125,1963,"uknc"
"Trifolium_pratense",141,1963,"uknc"
"Deschampsia_flexuosa",159,1963,"uknc"
"Myosotis_scorpioides",174,1963,"uknc"
"Rubus_idaeus",152,1963,"uknc"
"Poa_nemoralis",151,1963,"uknc"
"Poa_trivialis",147,1963,"uknc"
"Deschampsia_cespitosa",177,1963,"uknc"
"Viola_odorata",81,1963,"uknc"
"Festuca_rubra",115,1963,"uknc"
"Festuca_arundinacea",139,1963,"uknc"
"Ribes_nigrum",133,1963,"uknc"
"Rumex_acetosella",138.6202186,1964,"uknc"
"Ranunculus_ficaria",65.81967213,1964,"uknc"
"Alopecurus_pratensis",117.6775956,1964,"uknc"
"Cichorium_intybus",186.489071,1964,"uknc"
"Phleum_pratense",179.5081967,1964,"uknc"
"Lunaria_annua",123.6612022,1964,"uknc"
"Trifolium_repens",142.6092896,1964,"uknc"
"Brachypodium_pinnatum",177.5136612,1964,"uknc"
"Digitalis_purpurea",145.6010929,1964,"uknc"
"Ulmus_glabra",90.75136612,1964,"uknc"
"Scrophularia_vernalis",113.6885246,1964,"uknc"
"Anagallis_arvensis",146.5983607,1964,"uknc"
"Solidago_canadensis",211.420765,1964,"uknc"
"Silene_latifolia",134.6311475,1964,"uknc"
"Poa_pratensis",120.6693989,1964,"uknc"
"Chenopodium_album",188.4836066,1964,"uknc"
"Lactuca_serriola",201.4480874,1964,"uknc"
"Sonchus_oleraceus",143.6065574,1964,"uknc"
"Sinapis_alba",133.6338798,1964,"uknc"
"Calluna_vulgaris",193.4699454,1964,"uknc"
"Avena_sativa",188.4836066,1964,"uknc"
"Cynosurus_cristatus",142.6092896,1964,"uknc"
"Briza_media",140.6147541,1964,"uknc"
"Plantago_lanceolata",126.6530055,1964,"uknc"
"Trifolium_pratense",138.6202186,1964,"uknc"
"Poa_trivialis",148.5928962,1964,"uknc"
"Festuca_pratensis",134.6311475,1964,"uknc"
"Deschampsia_cespitosa",165.5464481,1964,"uknc"
"Viola_odorata",89.75409836,1964,"uknc"
"Festuca_rubra",130.6420765,1964,"uknc"
"Festuca_arundinacea",137.6229508,1964,"uknc"
"Ribes_nigrum",117.6775956,1964,"uknc"
"Digitalis_purpurea",180,1965,"uknc"
"Syringa_vulgaris",141,1965,"uknc"
