species,year,doy,source
Paspalum pubiflorum,2010,172,craine_2010
Pediomelum argophyllum,2010,154,craine_2010
Pediomelum esculentum,2010,123,craine_2010
Pellaea glabella,2010,200,craine_2010
Penstemon cobaea,2010,139,craine_2010
Penstemon grandiflorus,2010,126,craine_2010
Penstemon tubiflorus,2010,160,craine_2010
Penthorum sedoides,2010,176,craine_2010
Phleum pratense,2010,179,craine_2010
Phlox divaricata,2010,102,craine_2010
Phryma leptostachya,2010,165,craine_2010
Phyla lanceolata,2010,179,craine_2010
Physalis hederifolia,2010,161,craine_2010
Physalis pumila,2010,141,craine_2010
Physalis virginiana,2010,176,craine_2010
Phytolacca americana,2010,176,craine_2010
Pilea pumila,2010,221,craine_2010
Plantago aristata,2010,154,craine_2010
Plantago patagonica,2010,130,craine_2010
Plantago rhodosperma,2010,152,craine_2010
Plantago rugelii,2010,111,craine_2010
Plantago virginica,2010,119,craine_2010
Poa pratensis,2010,111,craine_2010
Polygala verticillata,2010,166,craine_2010
Polygonum aviculare,2010,162,craine_2010
Polygonum pensylvanicum,2010,251,craine_2010
Polygonum persicaria,2010,175,craine_2010
Polygonum punctatum,2010,175,craine_2010
Polygonum ramosissimum,2010,204,craine_2010
Polygonum scandens,2010,238,craine_2010
Polygonum tenue,2010,236,craine_2010
Polygonum virginianum,2010,207,craine_2010
Portulaca oleracea,2010,207,craine_2010
Potamogeton nodosus,2010,162,craine_2010
Potentilla arguta,2010,174,craine_2010
Prunella vulgaris,2010,182,craine_2010
Pseudognaphalium obtusifolium,2010,238,craine_2010
Psoralidium tenuiflorum,2010,135.8,craine_2010
Ratibida columnifera,2010,154,craine_2010
Ratibida pinnata,2010,174,craine_2010
Rorippa sinuata,2010,138,craine_2010
Rudbeckia hirta,2010,153,craine_2010
Ruellia humilis,2010,160,craine_2010
Ruellia strepens,2010,152,craine_2010
Rumex altissimus,2010,103,craine_2010
Rumex crispus,2010,117,craine_2010
Sagittaria latifolia,2010,165,craine_2010
Salvia azurea,2010,193,craine_2010
Salvia reflexa,2010,175,craine_2010
Sanicula canadensis,2010,155,craine_2010
Schedonnardus paniculatus,2010,153,craine_2010
Schedonorus phoenix,2010,118,craine_2010
Schizachyrium scoparium,2010,207,craine_2010
Schoenoplectus fluviatilis,2010,162,craine_2010
Schoenoplectus tabernaemontani,2010,160,craine_2010
Scirpus pendulus,2010,137,craine_2010
Scrophularia marilandica,2010,193,craine_2010
Scutellaria parvula,2010,138,craine_2010
Securigera varia,2010,141,craine_2010
Senna marilandica,2010,189,craine_2010
Setaria pumila,2010,166,craine_2010
Setaria viridis,2010,166,craine_2010
Sicyos angulatus,2010,242,craine_2010
Sida spinosa,2010,221,craine_2010
Silene antirrhina,2010,131,craine_2010
Silene stellata,2010,172,craine_2010
Silphium integrifolium,2010,179,craine_2010
Silphium laciniatum,2010,161,craine_2010
Sisyrinchium campestre,2010,103,craine_2010
Solanum carolinense,2010,158,craine_2010
Solanum ptychanthum,2010,238,craine_2010
Solanum rostratum,2010,162,craine_2010
Solidago canadensis,2010,222,craine_2010
Solidago gigantea,2010,204,craine_2010
Solidago missouriensis,2010,195,craine_2010
Solidago petiolaris,2010,257,craine_2010
Solidago speciosa,2010,232,craine_2010
Sonchus asper,2010,176,craine_2010
Sorghastrum nutans,2010,207,craine_2010
Sorghum halepense,2010,244,craine_2010
Spartina pectinata,2010,190,craine_2010
Spermolepis inermis,2010,148,craine_2010
Sphenopholis obtusata,2010,137,craine_2010
Spiranthes cernua,2010,265,craine_2010
Spiranthes vernalis,2010,189,craine_2010
Sporobolus compositus,2010,244,craine_2010
Sporobolus cryptandrus,2010,260,craine_2010
Sporobolus heterolepis,2010,238,craine_2010
Sporobolus neglectus,2010,246,craine_2010
Sporobolus vaginiflorus,2010,265,craine_2010
Stellaria media,2010,118,craine_2010
Stenaria nigricans,2010,161,craine_2010
Stenosiphon linifolius,2010,166,craine_2010
Strophostyles helvola,2010,222,craine_2010
Symphyotrichum divaricatum,2010,260,craine_2010
Symphyotrichum drummondii,2010,244,craine_2010
Symphyotrichum ericoides,2010,243,craine_2010
Symphyotrichum laeve,2010,257,craine_2010
Symphyotrichum lanceolatum,2010,271,craine_2010
Symphyotrichum oblongifolium,2010,260,craine_2010
Symphyotrichum pilosum,2010,257,craine_2010
Symphyotrichum praealtum,2010,274,craine_2010
Symphyotrichum sericeum,2010,243,craine_2010
Taraxacum officinale,2010,92,craine_2010
Teucrium canadense,2010,166,craine_2010
Thlaspi arvense,2010,96,craine_2010
Torilis arvensis,2010,161,craine_2010
Tradescantia bracteata,2010,127,craine_2010
Tragia betonicifolia,2010,154,craine_2010
Tragopogon dubius,2010,138,craine_2010
Tribulus terrestris,2010,166,craine_2010
Tridens flavus,2010,193,craine_2010
Trifolium pratense,2010,161,craine_2010
Trifolium repens,2010,125,craine_2010
Triodanis leptocarpa,2010,152,craine_2010
Triodanis perfoliata,2010,154,craine_2010
Triosteum perfoliatum,2010,139,craine_2010
Tripsacum dactyloides,2010,118,craine_2010
Typha latifolia,2010,160,craine_2010
Urtica dioica,2010,173,craine_2010
Verbascum blattaria,2010,147,craine_2010
Verbascum thapsus,2010,160,craine_2010
Verbena bracteata,2010,158,craine_2010
Verbena hastata,2010,204,craine_2010
Verbena simplex,2010,152,craine_2010
Verbena stricta,2010,152,craine_2010
Verbena urticifolia,2010,172,craine_2010
Verbesina alternifolia,2010,200,craine_2010
Vernonia baldwinii,2010,190,craine_2010
Veronica agrestis,2010,107,craine_2010
Veronica anagallis-aquatica,2010,123,craine_2010
Veronica arvensis,2010,118,craine_2010
Veronica peregrina,2010,118,craine_2010
Vicia americana,2010,109,craine_2010
Vicia villosa,2010,127,craine_2010
Viola bicolor,2010,94,craine_2010
Viola pedatifida,2010,98,craine_2010
Viola sororia,2010,96,craine_2010
Vulpia octoflora,2010,124,craine_2010
Xanthium strumarium,2010,260,craine_2010
Zigadenus nuttallii,2010,125,craine_2010
Zizia aurea,2010,119,craine_2010
